title_w,title_c,folderlabel_w,folderlabel_c,summary_w,summary_c,ndcg_10
1.0,0.5,0.5,0.65,1.0,0.5,0.741888706636907
4.0,0.2,1.3,0.65,2.3,0.85,0.7418135097172047
1.0,0.5,0.5,0.8,1.0,0.5,0.7417711090449857
2.3,0.8,2.7,0.8,2.3,0.5,0.7417636071101075
2.3,0.2,1.3,0.3,1.0,0.5,0.741757032943331
2.3,0.8,2.7,0.65,2.3,0.5,0.7417323856916995
1.0,0.8,1.3,0.65,1.0,0.5,0.7417046201333297
1.0,0.2,0.5,0.8,1.0,0.85,0.7417017650325092
2.3,0.2,0.5,0.3,1.0,0.5,0.7416730987113667
1.0,0.8,1.3,0.3,1.0,0.5,0.7416488255710562
1.0,0.5,0.5,0.3,1.0,0.5,0.7416289630054556
1.0,0.2,0.5,0.65,1.0,0.85,0.7415810350134308
2.3,0.2,2.7,0.3,2.3,0.85,0.741491872541275
1.0,0.2,1.3,0.3,1.0,0.5,0.7414764696084107
2.3,0.5,2.7,0.65,2.3,0.5,0.741429887707013
2.3,0.2,0.5,0.8,1.0,0.85,0.7414193369926521
2.3,0.2,1.3,0.65,1.0,0.5,0.7412675624856023
4.0,0.2,2.7,0.8,2.3,0.5,0.7410097479319835
1.0,0.2,1.3,0.8,1.0,0.85,0.7409758805010364
2.3,0.2,1.3,0.3,2.3,0.85,0.7409727466063264
1.0,0.2,1.3,0.65,1.0,0.85,0.740798843550758
4.0,0.2,2.7,0.8,2.3,0.85,0.7407245680195915
4.0,0.2,1.3,0.8,2.3,0.85,0.7406626904825525
1.0,0.2,0.5,0.65,1.0,0.5,0.7405760225680293
2.3,0.5,1.3,0.3,2.3,0.5,0.7405731989859414
2.3,0.5,1.3,0.65,2.3,0.5,0.7405731989859414
1.0,0.2,0.5,0.3,1.0,0.5,0.7405618633990132
4.0,0.5,2.7,0.8,2.3,0.5,0.7404850159987089
2.3,0.2,0.5,0.65,1.0,0.85,0.7404799356087682
2.3,0.5,1.3,0.8,2.3,0.5,0.7403922406291119
1.0,0.2,0.5,0.8,1.0,0.5,0.7403667749351238
4.0,0.2,0.5,0.65,2.3,1.5,0.7403346895211401
4.0,0.2,0.5,0.8,2.3,1.5,0.7403346895211401
